KOD	NAME
AB	АБХАЗИЯ
AU	АВСТРАЛИЯ
AT	АВСТРИЯ
AZ	АЗЕРБАЙДЖАН
AL	АЛБАНИЯ
DZ	АЛЖИР
AS	АМЕРИКАНСКОЕ САМОА
AI	АНГИЛЬЯ
AO	АНГОЛА
AD	АНДОРРА
AQ	АНТАРКТИДА
AG	АНТИГУА И БАРБУДА
AR	АРГЕНТИНА
AM	АРМЕНИЯ
AW	АРУБА
AF	АФГАНИСТАН
BS	БАГАМЫ
BD	БАНГЛАДЕШ
BB	БАРБАДОС
BH	БАХРЕЙН
BY	БЕЛАРУСЬ
BZ	БЕЛИЗ
BE	БЕЛЬГИЯ
BJ	БЕНИН
BM	БЕРМУДЫ
BG	БОЛГАРИЯ
BO	БОЛИВИЯ (МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО)
BQ	БОНЭЙР,СИНТ-ЭСТАТИУС И САБА
BA	БОСНИЯ И ГЕРЦЕГОВИНА
BW	БОТСВАНА
BR	БРАЗИЛИЯ
IO	БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНД.ОКЕАНЕ
BN	БРУНЕЙ-ДАРУССАЛАМ
BF	БУРКИНА-ФАСО
BI	БУРУНДИ
BT	БУТАН
VU	ВАНУАТУ
HU	ВЕНГРИЯ
VE	ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА)
VG	ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)
VI	ВИРГИНСКИЕ ОСТРОВА (США)
VN	ВЬЕТНАМ
GA	ГАБОН
HT	ГАИТИ
GY	ГАЙАНА
GM	ГАМБИЯ
GH	ГАНА
GP	ГВАДЕЛУПА
GT	ГВАТЕМАЛА
GN	ГВИНЕЯ
GW	ГВИНЕЯ-БИСАУ
DE	ГЕРМАНИЯ
GG	ГЕРНСИ
GI	ГИБРАЛТАР
HN	ГОНДУРАС
HK	ГОНКОНГ
GD	ГРЕНАДА
GL	ГРЕНЛАНДИЯ
GR	ГРЕЦИЯ
GE	ГРУЗИЯ
YY	ГРУЗИЯ (вне СНГ)
GU	ГУАМ
DK	ДАНИЯ
JE	ДЖЕРСИ
DJ	ДЖИБУТИ
DM	ДОМИНИКА
DO	ДОМИНИКАНСКАЯ РЕСПУБЛИКА
EG	ЕГИПЕТ
ZM	ЗАМБИЯ
EH	ЗАПАДНАЯ САХАРА
ZW	ЗИМБАБВЕ
IL	ИЗРАИЛЬ
IN	ИНДИЯ
ID	ИНДОНЕЗИЯ
JO	ИОРДАНИЯ
IQ	ИРАК
